Team,Year,Playoffs,RankSeason,RankPlayoffs
SDP,2017,0,,
SFG,2017,0,,
BOS,2018,1,1,1
NYY,2018,1,3,4
TBR,2018,0,,
TOR,2018,0,,
BAL,2018,0,,
CLE,2018,1,8,4
MIN,2018,0,,
DET,2018,0,,
CHW,2018,0,,
KCR,2018,0,,
HOU,2018,1,2,3
OAK,2018,1,4,5
SEA,2018,0,,
LAA,2018,0,,
TEX,2018,0,,
ATL,2018,1,9,4
WSN,2018,0,,
PHI,2018,0,,
NYM,2018,0,,
MIA,2018,0,,
MIL,2018,1,5,3
CHC,2018,1,6,5
STL,2018,0,,
PIT,2018,0,,
CIN,2018,0,,
LAD,2018,1,7,2
COL,2018,1,8,4
ARI,2018,0,,
SFG,2018,0,,
SDP,2018,0,,
NYY,2019,1,3,3
TBR,2019,1,6,4
BOS,2019,0,,
TOR,2019,0,,
BAL,2019,0,,
MIN,2019,1,4,4
CLE,2019,0,,
CHW,2019,0,,
KCR,2019,0,,
DET,2019,0,,
HOU,2019,1,1,2
OAK,2019,1,5,5
TEX,2019,0,,
LAA,2019,0,,
SEA,2019,0,,
ATL,2019,1,5,4
WSN,2019,1,7,1
NYM,2019,0,,
PHI,2019,0,,
MIA,2019,0,,
STL,2019,1,8,3
MIL,2019,1,9,5
CHC,2019,0,,
CIN,2019,0,,
PIT,2019,0,,
LAD,2019,1,2,4
ARI,2019,0,,
SFG,2019,0,,
COL,2019,0,,
SDP,2019,0,,
TBR,2020,1,2,2
NYY,2020,1,7,4
TOR,2020,1,8,5
BAL,2020,0,,
BOS,2020,0,,
MIN,2020,1,4,5
CLE,2020,1,5,5
CHW,2020,1,5,5
KCR,2020,0,,
DET,2020,0,,
OAK,2020,1,4,4
HOU,2020,1,11,3
SEA,2020,0,,
LAA,2020,0,,
TEX,2020,0,,
ATL,2020,1,5,3
MIA,2020,1,10,4
PHI,2020,0,,
NYM,2020,0,,
WSN,2020,0,,
CHC,2020,1,6,5
STL,2020,1,9,5
CIN,2020,1,10,5
MIL,2020,1,11,5
PIT,2020,0,,
LAD,2020,1,1,1
SDP,2020,1,3,4
SFG,2020,0,,
COL,2020,0,,
ARI,2020,0,,
TBR,2021,1,3,4
BOS,2021,1,6,3
NYY,2021,1,6,5
TOR,2021,0,,
BAL,2021,0,,
CHW,2021,1,5,4
CLE,2021,0,,
DET,2021,0,,
KCR,2021,0,,
MIN,2021,0,,
HOU,2021,1,4,2
SEA,2021,0,,
OAK,2021,0,,
LAA,2021,0,,
TEX,2021,0,,
ATL,2021,1,8,1
PHI,2021,0,,
NYM,2021,0,,
MIA,2021,0,,
WSN,2021,0,,
MIL,2021,1,4,4
STL,2021,1,7,5
CIN,2021,0,,
CHC,2021,0,,
PIT,2021,0,,
SFG,2021,1,1,4
LAD,2021,1,2,3
SDP,2021,0,,
COL,2021,0,,
ARI,2021,0,,
NYY,2022,1,4,3
TOR,2022,1,6,5
TBR,2022,1,10,5
BAL,2022,0,,
BOS,2022,0,,
CLE,2022,1,6,4
CHW,2022,0,,
MIN,2022,0,,
DET,2022,0,,
KCR,2022,0,,
HOU,2022,1,2,1
SEA,2022,1,7,4
LAA,2022,0,,
TEX,2022,0,,
OAK,2022,0,,
ATL,2022,1,3,4
NYM,2022,1,3,5
PHI,2022,1,9,2
MIA,2022,0,,
WSN,2022,0,,
STL,2022,1,5,5
MIL,2022,0,,
CHC,2022,0,,
CIN,2022,0,,
PIT,2022,0,,
LAD,2022,1,1,4
SDP,2022,1,8,3
SFG,2022,0,,
ARI,2022,0,,
COL,2022,0,,
BAL,2023,1,2,4
TBR,2023,1,4,5
TOR,2023,1,7,5
NYY,2023,0,,
BOS,2023,0,,
MIN,2023,1,8,4
DET,2023,0,,
CLE,2023,0,,
CHW,2023,0,,
KCR,2023,0,,
HOU,2023,1,6,3
TEX,2023,1,6,1
SEA,2023,0,,
LAA,2023,0,,
OAK,2023,0,,
ATL,2023,1,1,4
PHI,2023,1,6,3
MIA,2023,1,9,5
NYM,2023,0,,
WSN,2023,0,,
MIL,2023,1,5,5
CHC,2023,0,,
CIN,2023,0,,
PIT,2023,0,,
STL,2023,0,,
LAD,2023,1,3,4
ARI,2023,1,9,2
SDP,2023,0,,
SFG,2023,0,,
COL,2023,0,,
NYY,2024,1,3,2
BAL,2024,1,6,5
BOS,2024,0,,
TBR,2024,0,,
TOR,2024,0,,
CLE,2024,1,5,3
KCR,2024,1,9,4
DET,2024,1,9,4
MIN,2024,0,,
CHW,2024,0,,
HOU,2024,1,8,5
SEA,2024,0,,
TEX,2024,0,,
OAK,2024,0,,
LAA,2024,0,,
PHI,2024,1,2,4
ATL,2024,1,7,5
NYM,2024,1,7,3
WSN,2024,0,,
MIA,2024,0,,
MIL,2024,1,4,5
CHC,2024,0,,
STL,2024,0,,
CIN,2024,0,,
PIT,2024,0,,
LAD,2024,1,1,1
SDP,2024,1,4,4
ARI,2024,0,,
SFG,2024,0,,
COL,2024,0,,
TOR,2025,1,3,2
NYY,2025,1,3,4
BOS,2025,1,7,5
TBR,2025,0,,
BAL,2025,0,,
CLE,2025,1,8,5
DET,2025,1,9,4
KCR,2025,0,,
MIN,2025,0,,
CHW,2025,0,,
SEA,2025,1,6,3
HOU,2025,0,,
TEX,2025,0,,
OAK,2025,0,,
LAA,2025,0,,
PHI,2025,1,2,4
NYM,2025,0,,
MIA,2025,0,,
ATL,2025,0,,
WSN,2025,0,,
MIL,2025,1,1,3
CHC,2025,1,5,4
CIN,2025,1,10,5
STL,2025,0,,
PIT,2025,0,,
LAD,2025,1,4,1
SDP,2025,1,6,5
SFG,2025,0,,
ARI,2025,0,,
COL,2025,0,,
